,category,name,price,rating,review_count
1370,Mediterranean,Sawa Restaurant & Lounge,$$,4.0,324
1371,Japanese,Dragonfly Izakaya & Fish Market,$$,4.5,452
1372,Venezuelan,Central Park Food Station,$,4.5,201
1373,Sushi Bars,Kone Sushi,$$,3.5,168
1374,Burgers,Al Carbon,$$,3.5,176
1375,Fast Food,Chick-fil-A,$,4.0,69
1376,Bars,Baires Grill Brickell,$$,4.0,104
1377,Pizza,Che Tito's,$$,4.0,94
1378,Honduran,Paseo Catracho,$,3.5,133
1379,Food Trucks,Che Milanesa,$,4.5,63
1380,Tacos,Pilo's Street Tacos,$,4.5,81
1381,Bars,The Bar,$$,4.0,241
1382,Lounges,Blue Martini Lounge,$$,3.0,346
1383,French,La Crepe Bistro,$$,4.0,81
1384,Colombian,Mi Pueblo,$$,4.0,79
1385,Latin American,Casa Juan Restaurant,$$,4.0,130
1386,Food Trucks,Tacos The Fury,$,5.0,31
1387,Seafood,MesaMar Seafood Table,$$$,4.5,110
1388,Mediterranean,River Yacht Club,$$$,3.5,204
1389,Latin American,Pastelmania,$,5.0,27
1390,Italian,Nunzio's Ristorante,$$,4.0,138
1391,Mediterranean,Butterfly Ball,$$,4.5,47
1392,Ice Cream & Frozen Yogurt,SubZero Nitrogen Ice Cream,$,4.0,98
1393,Diners,Wagon's West Restaurant,$$,3.5,180
1394,Burgers,Pincho Factory,$$,3.5,135
1395,Burgers,Shula Burger,$$,3.5,176
1396,Pizza,Holy Bagels & Pizzeria,$$,4.5,45
1397,Bakeries,The Middle East Best Food,$,4.0,64
1398,Fondue,The Melting Pot - Miami,$$$,3.5,162
